total,rank,rankEqual,sortRank,rankTotal,rankTotalEqual,sortRankTotal,org,organisation.code,organisation.description,organisation.longDescription,organisation.protocolOrder,organisation.descriptionOrder,organisation.longDescriptionOrder,Country,Gold,Silver,Bronze,Total,lexicographic_order
39,2,N,2,1,N,1,USA,USA,United States,United States of America,66,2190,2200,USA,9,16,14,39,1
28,3,N,3,2,N,2,FRA,FRA,France,France,70,730,740,FRA,8,11,9,28,2
26,1,N,1,3,N,3,CHN,CHN,China,People's Republic of China,41,430,1600,CHN,12,7,7,26,3
23,6,N,6,4,N,4,GBR,GBR,Great Britain,Great Britain,75,810,810,GBR,7,8,8,23,4
19,4,N,4,5,N,5,AUS,AUS,Australia,Australia,13,120,120,AUS,8,6,5,19,5
17,8,N,8,6,N,6,ITA,ITA,Italy,Italy,95,1020,1020,ITA,5,8,4,17,6
16,5,N,5,7,N,7,JPN,JPN,Japan,Japan,97,1040,1040,JPN,8,3,5,16,7
12,7,N,7,8,N,8,KOR,KOR,Korea,Republic of Korea,49,1100,1690,KOR,6,3,3,12,8
8,10,N,10,9,Y,10,CAN,CAN,Canada,Canada,37,380,380,CAN,3,2,3,8,10
8,9,N,9,9,Y,9,NED,NED,Netherlands,Netherlands,150,1450,1430,NED,4,2,2,8,9
6,11,Y,12,11,Y,12,ROU,ROU,Romania,Romania,158,1710,1730,ROU,2,3,1,6,12
6,13,N,13,11,Y,13,GER,GER,Germany,Germany,5,790,790,GER,2,2,2,6,13
6,11,Y,11,11,Y,11,NZL,NZL,New Zealand,New Zealand,140,1470,1450,NZL,2,3,1,6,11
6,32,N,32,11,Y,14,BRA,BRA,Brazil,Brazil,29,300,300,BRA,0,3,3,6,14
5,21,Y,21,15,Y,16,ESP,ESP,Spain,Spain,63,1930,1950,ESP,1,1,3,5,16
5,21,Y,22,15,Y,17,SUI,SUI,Switzerland,Switzerland,180,2000,2010,SUI,1,1,3,5,17
5,18,N,18,15,Y,15,SWE,SWE,Sweden,Sweden,179,1990,2000,SWE,1,2,2,5,15
4,35,N,35,18,Y,22,GRE,GRE,Greece,Greece,76,820,820,GRE,0,1,3,4,22
4,23,N,23,18,Y,21,RSA,RSA,South Africa,South Africa,2,1910,1930,RSA,1,1,2,4,21
4,14,Y,14,18,Y,18,HKG,HKG,"Hong Kong, China","Hong Kong, China",86,910,910,HKG,2,0,2,4,18
4,19,N,19,18,Y,20,HUN,HUN,Hungary,Hungary,87,920,920,HUN,1,2,1,4,20
4,14,Y,15,18,Y,19,IRL,IRL,Ireland,Ireland,92,1000,990,IRL,2,0,2,4,19
3,44,N,44,23,Y,29,IND,IND,India,India,88,940,960,IND,0,0,3,3,29
3,20,N,20,23,Y,24,GEO,GEO,Georgia,Georgia,73,770,770,GEO,1,2,0,3,24
3,16,N,16,23,Y,23,CRO,CRO,Croatia,Croatia,52,510,500,CRO,2,0,1,3,23
3,24,Y,24,23,Y,25,BEL,BEL,Belgium,Belgium,21,200,200,BEL,1,0,2,3,25
3,24,Y,25,23,Y,26,KAZ,KAZ,Kazakhstan,Kazakhstan,99,1060,1060,KAZ,1,0,2,3,26
3,36,N,36,23,Y,28,POL,POL,Poland,Poland,153,1640,1630,POL,0,1,2,3,28
3,33,N,33,23,Y,27,MEX,MEX,Mexico,Mexico,125,1330,1320,MEX,0,2,1,3,27
2,37,Y,39,30,Y,36,TUR,TUR,Türkiye,Türkiye,195,2110,2110,TUR,0,1,1,2,36
2,37,Y,40,30,Y,37,UKR,UKR,Ukraine,Ukraine,197,2160,2150,UKR,0,1,1,2,37
2,34,N,34,30,Y,33,PRK,PRK,DPR Korea,Democratic People's Republic of Korea,157,600,550,PRK,0,2,0,2,33
2,26,Y,27,30,Y,32,UZB,UZB,Uzbekistan,Uzbekistan,143,2220,2230,UZB,1,0,1,2,32
2,37,Y,38,30,Y,35,KOS,KOS,Kosovo,Kosovo,103,1110,1100,KOS,0,1,1,2,35
2,37,Y,37,30,Y,34,ISR,ISR,Israel,Israel,94,1010,1010,ISR,0,1,1,2,34
